trace_folder_path,episode_id,instruction
/data/jxq/mobile-agent/aitw_replay_data/googleapps/trace_34,16754489084430570432,open the mobile data screen to see how much data has been used
/data/jxq/mobile-agent/aitw_replay_data/googleapps/trace_16,2143123778391820313,check android version
/data/jxq/mobile-agent/aitw_replay_data/googleapps/trace_6,12499699714226113785,turn off notifications settings in the gmail app
/data/jxq/mobile-agent/aitw_replay_data/googleapps/trace_47,10529094880631540491,change the clock display to show seconds
/data/jxq/mobile-agent/aitw_replay_data/googleapps/trace_57,11284182024619853586,Go to Wikipedia
/data/jxq/mobile-agent/aitw_replay_data/googleapps/trace_45,10316979227561224357,Open Amazon
/data/jxq/mobile-agent/aitw_replay_data/googleapps/trace_0,615146254683807741,Go to notification settings
/data/jxq/mobile-agent/aitw_replay_data/googleapps/trace_56,11230143213828357962,turn off notifications in google photos
/data/jxq/mobile-agent/aitw_replay_data/googleapps/trace_26,427792410888378033,Open my contact list
/data/jxq/mobile-agent/aitw_replay_data/googleapps/trace_35,112339337270558693,Go to privacy settings
/data/jxq/mobile-agent/aitw_replay_data/googleapps/trace_50,1078852035958996113,change the clock display to analog
/data/jxq/mobile-agent/aitw_replay_data/googleapps/trace_31,10816182174687306590,Open calendar and show me the third week of next month
